Attribute,unique artifact,Specific Location,state,Identifier1,Identifier2,Identifier3,Identifier4,Old Identifier,Influence Locations,Image Link1,Image Link2,,,"{Identifier} famous throughout India, originated in {specific location}",,,,,,,,,,,Attribute,state,
History,Tirumala Venkateswara Temple,Tirupati district,Andhra_Pradesh,A Hindu temple situated in the hills of Tirumala dedicated to Lord Venkateswara,"it attracts millions of devotees yearly and is renowned for its spiritual significance, rituals, and grand architecture",,,"A Hindu temple situated in the hills of Tirumala dedicated to Lord Venkateswara, it attracts millions of devotees yearly and is renowned for its spiritual significance, rituals, and grand architecture",,https://en.wikipedia.org/wiki/Venkateswara_Tem...,,,,,,,,,,,,,,,,,
History,Veerabhadra Temple at Lepakshi,Sri Sathya Sai district,Andhra_Pradesh,"A Hindu temple located in the Lepakshi dedicated to the Virabhadra, a fierce form of the god Shiva.",the architectural features of the temple are in the Vijayanagara style with profusion of carvings and paintings at almost every exposed surface of the temple. ,,,"A Hindu temple located in the Lepakshi dedicated to the Virabhadra, a fierce form of the god Shiva.",,https://en.wikipedia.org/wiki/Veerabhadra_Temp...,,,,,,,,,,,,,,,,,
History,Sri Kurmam Temple,Srikakulam district,Andhra_Pradesh,A significant Hindu temple dedicated to Lord Vishnu in his Kurma (tortoise) avatar,was re-established by Eastern Ganga Dynasty King Anantavarman Chodaganga Deva,,,A significant Hindu temple dedicated to Lord Vishnu in his Kurma (tortoise) avatar,,https://en.wikipedia.org/wiki/Sri_Kurmam,,,,,,,,,,,,,,,,,
Festival,Lepakshi Dance Festival,Lepakshi,Andhra_Pradesh,The two-day held annually in March in Anantapur district,celebrates the heritage of the 16thâ€‘century Veerabhadra temple and Rayalaseema culture,"Expect vibrant classical dance, folk music, artisansâ  stalls, rural experiences, chariot processions",,"
The two-day held annually in March in Anantapur district, celebrates the heritage of the 16thâ€‘century Veerabhadra temple and Rayalaseema culture. Expect vibrant classical dance, folk music, artisansâ  stalls, rural experiences, chariot processions",,https://utsav.gov.in/view-event/lepakshi-festi...,,,,,,,,,,,,,,,,,
History,Borra Caves,Alluri Sitharama Raju district,Andhra_Pradesh,The Caves which are located in the Araku Valley are deepest limestone caves formed by water erosion,"they feature stunning stalactites, stalagmites, and a natural Shiva Lingam",making them a significant geological and tourist landmark in the region.,,"The Caves which are located in the Araku Valley are deepest limestone caves formed by water erosion, they feature stunning stalactites, stalagmites, and a natural Shiva Lingam, making them a significant geological and tourist landmark in the region.",,https://en.wikipedia.org/wiki/Borra_Caves,,,,,,,,,,,,,,,,,
History,Ghantasala Stupa,Krishna district,Andhra_Pradesh,A significant Buddhist site located in Ghantasala village a flourishing center of Indo-Roman trade and a religious hub for Buddhism,"Alexander Rea excavated the stupa, which had a circumference of 112 feet and a height of 23 feet.",,,A significant Buddhist site located in Ghantasala village a flourishing center of Indo-Roman trade and a religious hub for Buddhism,,"https://en.wikipedia.org/wiki/Ghantasala,_Kris...",,,,,,,,,,,,,,,,,
Tourism,Kolleru Lake,West Godavari and Krishna districts,Andhra_Pradesh,One of the largest freshwater lakes 15 kilometers away from Eluru and 65 km from Rajamahendravaram,the lake is located between the Krishna and Godavari river deltas,,,"One of the largest freshwater lakes 15 kilometers away from Eluru and 65 km from Rajamahendravaram, the lake is located between the Krishna and Godavari river deltas",,https://en.wikipedia.org/wiki/Kolleru_Lake,,,,,,,,,,,,,,,,,
Tourism,Sri Mukhalingam Temple,Srikakulam district,Andhra_Pradesh,"A significant religious site dedicated to Lord Shiva, specifically the form of Lord Srimukha Lingeswara ",known for its exquisite sculptures and is built in the Kalinga architectural style,,,"A significant religious site dedicated to Lord Shiva, specifically the form of Lord Srimukha Lingeswara known for its exquisite sculptures and is built in the Kalinga architectural style",,https://en.wikipedia.org/wiki/Mukhalingam,,,,,,,,,,,,,,,,,
Art,Durgi soapstone sculptures,"Durgi village, Palnadu region, Guntur district",Andhra_Pradesh,A stone sculptures renowned for intricate carvings on soft soapstone,"originating in the 15th century, these traditional sculptures depict deities and mythological scene",reflecting the regionâ€™s artistic heritage and cultural craftsmanship legacy,,"A stone sculptures renowned for intricate carvings on soft soapstone, originating in the 15th century, these traditional sculptures depict deities and mythological scenes, reflecting the regionâ€™s artistic heritage and cultural craftsmanship legacy",,https://www.incredibleindia.gov.in/en/andhra-pradesh/durgi-stone-carvings,,,,,,,,,,,,,,,,,
Sports,Etikoppaka lacquer toys,Etikoppaka village,Andhra_Pradesh,"The toys are made out of wood and are coloured with natural dyes derived from seeds, lacquer, bark, roots and leaves",these toys were a part of the everyday lives of the people living here and in the neighbouring villages. ,,,"The toys are made out of wood and are coloured with natural dyes derived from seeds, lacquer, bark, roots and leaves",,https://en.wikipedia.org/wiki/Etikoppaka,,,,,,,,,,,,,,,,,
Tourism,INS Kursura,Visakhapatnam,Andhra_Pradesh,A Kalvari-class diesel-electric submarine.,It was India's fourth submarine commissioned on 18 December 1969 and was decommissioned on 27 February 2001 after 31 years of service,,,A Kalvari-class diesel-electric submarine. It was India's fourth submarine commissioned on 18 December 1969 and was decommissioned on 27 February 2001 after 31 years of service,,https://en.wikipedia.org/wiki/INS_Kursura_(S20),,,,,,,,,,,,,,,,,
Festival,Solung Festival,Siang district,Arunachal_Pradesh,The most popular festival of the Adis celebrated in the beginning of September,"begins after the sowing of seeds, to pray for a bountiful harvest and overall prosperity",,,"The most popular festival of the Adis celebrated in the beginning of September, after the sowing of seeds, to pray for a bountiful harvest and overall prosperity",,https://utsav.gov.in/view-event/solung-festival,,,,,,,,,,,,,,,,,
Tourism,Tawang Monastery,Tawang district,Arunachal_Pradesh,The  second-largest monastery in the world. Founded in the 17th century,it belongs to the Gelugpa sect of Tibetan Buddhism and serves as a vital spiritual and cultural center ,situated in the valley of the Tawang Chu,,"The  second-largest monastery in the world. Founded in the 17th century, it belongs to the Gelugpa sect of Tibetan Buddhism and serves as a vital spiritual and cultural center situated in the valley of the Tawang Chu",,https://en.wikipedia.org/wiki/Tawang_Monastery,,,,,,,,,,,,,,,,,
Art,Monpa paper scrolls,Monpa tribe,Arunachal_Pradesh,"A traditional paper crafted by the Monpa people made from the bark of the ""Shugu Sheng"" tree","is integral to the region's culture and has been used for writing Buddhist scriptures, hymns, and other important documents",,,"A traditional paper crafted by the Monpa people made from the bark of the ""Shugu Sheng"" tree, is integral to the region's culture and has been used for writing Buddhist scriptures, hymns, and other important documents",,"https://blog.mygov.in/reviving-the-ancient-art-of-monpa-handmade-paper/#:~:text=The%20paper%20was%20originally%20crafted%20by%20the,Sheng%2C%20found%20abundantly%20in%20the%20Tawang%20region.",,,,,,,,,,,,,,,,,
Tourism,Parshuram Kund,Lohit district,Arunachal_Pradesh,A Hindu pilgrimage site situated on the Brahmaputra plateau in the lower reaches of the Lohit River,,,,A Hindu pilgrimage site situated on the Brahmaputra plateau in the lower reaches of the Lohit River,,https://en.wikipedia.org/wiki/Parshuram_Kund,,,,,,,,,,,,,,,,,
Festival,Sangken Festival,Namsai district,Arunachal_Pradesh,A water festival celebrated primarily by the Tai Khamti community and other tribes like the Singpho ,"involves ceremonial bathing of Buddha statues and splashing water on each other as a symbol of purity, peace, and a fresh start.",,,"A water festival celebrated primarily by the Tai Khamti community and other tribes like the Singpho involves ceremonial bathing of Buddha statues and splashing water on each other as a symbol of purity, peace, and a fresh start. ",,https://utsav.gov.in/view-event/sangken-festiv...,,,,,,,,,,,,,,,,,
Festival,Pangsau Pass Winter Festival,Nampong,Arunachal_Pradesh,Three day annual global village event organized during the third week of January ,"showcases Northeastâ€¯Indian and Myanmar tribal cultures through folk performance, crafts, cuisine, and cross-border interaction",,,"Three day annual global village event organized during the third week of January showcases Northeastâ€¯Indian and Myanmar tribal cultures through folk performance, crafts, cuisine, and cross-border interaction",,https://utsav.gov.in/view-event/pangsau-pass-international-festival,,,,,,,,,,,,,,,,,
Language,Nishi language,"Papum Pare, Lower Subansiri, Kurung Kumey, Kra Daadi, East Kameng, Pakke Kesang, and Kamle districts",Arunachal_Pradesh,ATibeto-Burman language belonging to the Tani branch of the Sino-Tibetan language family.,It is primarily spoken by the Nyishi people.,,,ATibeto-Burman language belonging to the Tani branch of the Sino-Tibetan language family. It is primarily spoken by the Nyishi people,,"https://en.wikipedia.org/wiki/Nishi_language#:~:text=Nyishi%20(also%20known%20as%20Nishi,District%20of%20Assam%20in%20India.",,,,,,,,,,,,,,,,,
Language,Mishmi language,Dibang Valley and Lower Dibang Valley districts,Arunachal_Pradesh,"A small language spoken by the Idu Mishmi people includes dialects like Idu, Digaru, and Miju.","It belongs to the Tibeto-Burman language family and reflects the tribeâ€™s rich oral traditions, cultural identity, and endangered linguistic heritage",,,"A small language spoken by the Idu Mishmi people includes dialects like Idu, Digaru, and Miju. It belongs to the Tibeto-Burman language family and reflects the tribeâ€™s rich oral traditions, cultural identity, and endangered linguistic heritage",,https://en.wikipedia.org/wiki/Idu_Mishmi_language,,,,,,,,,,,,,,,,,
Language,Wancho language,Longding and Tirap districts,Arunachal_Pradesh,A Tibeto-Burman language spoken by the Wancho people in the Patkai hills,"is spoken in 36 villages of southeastern Longding district, Tirap district, Arunachal Pradesh, as well as in Assam and Nagaland (Ethnologue).","Alternate names include Banpara Naga, Joboka, Jokoba.",,A Tibeto-Burman language spoken by the Wancho people in the Patkai hills,,https://en.wikipedia.org/wiki/Wancho_language,,,,,,,,,,,,,,,,,
Language,Tagin dialect,Upper Subansiri district,Arunachal_Pradesh,A Sino-Tibetan language spoken by the Tagin people.,"It's a stable, indigenous language within the Tani languages group, and while widely used within the community.",,,"A Sino-Tibetan language spoken by the Tagin people, It's a stable, indigenous language within the Tani languages group, and while widely used within the community",,https://en.wikipedia.org/wiki/Tagin_people,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Sherdukpen prayer flags and butter lamps,West Kameng district,Arunachal_Pradesh,"The Tibetan Buddhist prayer flags, are rectangular pieces of cloth.","It is printed  with prayers and mantras, often displayed in a specific order and color sequence.",,,"The Tibetan Buddhist prayer flags, are rectangular pieces of cloth printed with prayers and mantras, often displayed in a specific order and color sequence",,"https://en.wikipedia.org/wiki/Prayer_flag#:~:text=Blue%20symbolizes%20the%20sky%20and,balance%20of%20the%20five%20elements.",,,,,,,,,,,,,,,,,
Rituals_and_Ceremonies,Nyokum Yullo rituals,East Kameng and Lower Subansiri districts,Arunachal_Pradesh,A festival celebrated by the Nyishi tribe annually in late February. ,"Rituals include building a bamboo altar (Yugang), chanting by priests, animal sacrifices, communal danceâ€‘songs, and purification rites, invoking natureâ€™s spirits for prosperity and unity.",,,"A festival celebrated by the Nyishi tribe annually in late February. Rituals include building a bamboo altar (Yugang), chanting by priests, animal sacrifices, communal danceâ€‘songs, and purification rites, invoking natureâ€™s spirits for prosperity and unity",,https://en.wikipedia.org/wiki/Nyokum,,,,,,,,,,,,,,,,,
Festival,Si-Donyi Festival,Upper Subansiri district,Arunachal_Pradesh,A festival celebrated among the Tagin tribe  in January.,"It marks the end of the agricultural season and is a time for community celebration, gratitude to nature, and cultural display.",,,"A festival celebrated among the Tagin tribe  in January, marking the end of the agricultural season and is a time for community celebration, gratitude to nature, and cultural display",,https://en.wikipedia.org/wiki/Si-Donyi_Festival,,,,,,,,,,,,,,,,,
Art,Torma butter sculptures,Tawang district,Arunachal_Pradesh,A sculptures made of flour and butter used in tantric rituals  .,"Crafted into symbolic shapes deities, flowers, auspicious icons they are displayed temporarily in ceremonies before being offered or discarded.",,,"A sculptures made of flour and butter used in tantric rituals  Crafted into symbolic shapes deities, flowers, auspicious icons theyâ€™re displayed temporarily in ceremonies before being offered or discarded",,https://en.wikipedia.org/wiki/Torma,,,,,,,,,,,,,,,,,
